"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Porsche | Subaru | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37A8547"
"ColumnCount:",17
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1975",7606,1758,1624,48,10,6,92,7446,1734,1598,48,10,4,88,,
"02/1975",7018,1632,1396,68,12,4,84,6920,1622,1392,64,12,4,84,,
"03/1975",8156,1876,1722,72,16,8,92,8002,1856,1694,68,16,8,90,,
"04/1975",8144,1832,1604,104,22,10,110,7952,1810,1578,104,22,10,110,,
"05/1975",9964,2196,1936,176,16,4,146,9682,2162,1886,172,16,4,140,,
"06/1975",10114,2278,1860,206,10,8,140,9830,2246,1824,204,10,8,136,,
"07/1975",10462,2358,2014,212,16,26,114,10188,2342,1980,210,16,26,112,,
"08/1975",10742,2420,2044,176,28,18,146,10450,2384,2002,166,26,18,146,,
"09/1975",9750,2226,1964,198,4,10,106,9490,2174,1912,198,4,10,104,,
"10/1975",9916,2248,1998,148,10,18,128,9614,2190,1954,146,10,18,128,,
"11/1975",9722,2378,2034,132,20,10,122,9470,2336,1976,128,20,10,120,,
"12/1975",9468,2316,1954,80,14,22,128,9264,2280,1914,80,14,22,128,,
"01/1976",7498,1720,1528,46,10,10,86,7342,1704,1488,46,10,10,86,,
"02/1976",7402,1788,1618,74,16,6,118,7248,1762,1594,74,16,6,116,,
"03/1976",7868,1776,1578,108,14,4,94,7698,1758,1554,106,14,4,94,,
"04/1976",8682,2078,1692,112,12,10,130,8464,2026,1670,112,12,10,128,,
"05/1976",10150,2260,2002,210,10,20,136,9930,2228,1962,206,10,20,134,,
"06/1976",9750,2100,1910,150,18,10,160,9494,2082,1856,144,18,10,160,,
"07/1976",11222,2444,2188,230,8,10,154,10956,2414,2158,228,8,10,150,,
"08/1976",10714,2312,2148,248,16,2,154,10506,2296,2114,246,16,2,152,,
"09/1976",9900,2228,1974,190,8,10,132,9736,2210,1944,188,8,10,132,,
"10/1976",10506,2378,2034,146,18,16,150,10282,2352,1986,144,18,16,148,,
"11/1976",8676,2114,1860,122,12,8,136,8512,2092,1840,122,12,8,130,,
"12/1976",9800,2346,1960,114,12,18,162,9668,2324,1936,114,12,18,160,,
"01/1977",7026,1542,1448,104,12,8,148,6916,1526,1438,104,12,8,146,,
"02/1977",7342,1638,1552,96,14,8,122,7202,1618,1538,96,14,6,118,,
"03/1977",8820,1928,1916,188,22,24,132,8658,1894,1890,188,20,24,132,,
"04/1977",9358,2134,1856,268,12,8,136,9216,2114,1834,268,12,8,136,,
"05/1977",10172,2326,1978,378,18,16,182,10022,2308,1946,378,18,16,182,,
"06/1977",10940,2404,2034,392,14,16,184,10702,2378,1992,392,14,16,184,,
"07/1977",12304,2670,2320,602,20,18,250,12008,2620,2280,602,20,18,244,,
"08/1977",11718,2622,2258,416,18,28,208,11528,2598,2224,416,18,28,202,,
"09/1977",10670,2310,2018,346,8,8,176,10430,2278,1972,346,8,8,176,,
"10/1977",11464,2594,2320,294,18,30,186,11248,2570,2296,294,18,28,180,,
"11/1977",10518,2364,2246,196,16,16,194,10346,2344,2200,196,16,16,192,,
"12/1977",10698,2502,2182,130,18,28,200,10556,2480,2156,130,18,28,200,,
"01/1978",7140,1638,1446,94,8,16,112,7010,1620,1438,94,8,16,110,,
"02/1978",6914,1480,1460,116,12,2,128,6748,1466,1450,116,12,2,126,,
"03/1978",9068,2034,1790,158,12,16,196,8936,2030,1774,158,12,16,192,,
"04/1978",9946,2280,2006,312,22,16,156,9788,2272,1982,312,22,16,156,,
"05/1978",11122,2402,1952,456,16,26,194,10908,2396,1928,456,16,26,190,,
"06/1978",11918,2490,2246,510,22,30,220,11664,2474,2216,510,22,30,220,,
"07/1978",12576,2670,2276,566,34,34,226,12250,2652,2230,562,34,34,226,,
"08/1978",12632,2794,2290,548,26,22,236,12404,2782,2268,548,26,22,234,,
"09/1978",12204,2790,2358,458,22,12,210,11972,2770,2328,458,22,12,210,,
"10/1978",12038,2754,2424,310,20,24,226,11788,2730,2392,310,20,24,224,,
"11/1978",11308,2576,2304,228,34,36,258,11140,2560,2296,226,34,36,254,,
"12/1978",11422,2658,2324,202,18,28,258,11214,2646,2308,202,18,28,252,,
"01/1979",8192,1778,1590,122,20,36,192,8080,1774,1582,122,20,36,192,,
"02/1979",8318,1854,1704,122,14,14,196,8194,1846,1686,122,14,14,196,,
"03/1979",10402,2380,1958,264,12,32,242,10254,2374,1948,264,12,32,236,,
"04/1979",10404,2400,1898,350,14,22,230,10258,2392,1880,350,14,22,228,,
"05/1979",10982,2358,1980,478,6,34,218,10802,2346,1962,478,6,34,216,,
"06/1979",11226,2254,2038,524,16,26,226,10968,2240,2018,520,16,26,224,,
"07/1979",11802,2418,2090,516,12,44,234,11596,2406,2064,516,12,42,230,,
"08/1979",11882,2460,2248,542,16,16,280,11716,2436,2230,542,16,16,280,,
"09/1979",11684,2628,2252,430,20,38,266,11556,2616,2234,430,20,38,264,,
"10/1979",11750,2722,2182,276,16,32,212,11590,2716,2160,276,16,32,212,,
"11/1979",11124,2532,2168,198,18,24,248,10958,2516,2150,198,18,24,246,,
"12/1979",11758,2722,2340,220,22,34,272,11632,2706,2330,220,22,32,268,,
"01/1980",8668,1920,1794,128,16,32,214,8600,1916,1784,128,16,32,212,,
"02/1980",8194,1874,1560,166,10,32,192,8126,1872,1556,166,10,32,192,,
"03/1980",9070,2032,1768,218,16,48,222,8994,2024,1758,218,16,48,222,,
"04/1980",9452,1920,1806,344,24,50,248,9358,1920,1792,342,24,50,246,,
"05/1980",11248,2376,2042,522,22,30,300,11146,2368,2034,522,22,28,300,,
"06/1980",11972,2546,2168,536,14,52,262,11860,2534,2156,536,14,50,262,,
"07/1980",11902,2496,2074,580,26,32,314,11788,2486,2062,580,26,32,312,,
"08/1980",13202,2934,2246,590,16,42,352,13070,2930,2222,590,16,42,350,,
"09/1980",11112,2494,2004,458,16,24,278,11004,2482,1990,458,16,22,278,,
"10/1980",10898,2382,2050,286,16,36,322,10790,2372,2040,286,16,36,322,,
"11/1980",10608,2362,2050,228,20,64,310,10534,2358,2046,228,20,64,308,,
"12/1980",10644,2448,2040,172,6,56,282,10586,2444,2032,172,6,56,280,,
"01/1981",9080,2096,1756,158,10,42,250,8888,2064,1732,154,10,42,250,,
"02/1981",8682,1876,1672,208,8,38,268,8556,1852,1654,206,8,38,268,,
"03/1981",9312,2076,1786,278,14,38,316,9174,2064,1766,272,14,38,314,,
"04/1981",9872,2166,1772,346,8,32,282,9708,2154,1752,342,8,32,280,,
"05/1981",10690,2212,1908,382,18,54,276,10528,2200,1892,378,18,52,276,,
"06/1981",11108,2244,1860,442,14,36,320,10904,2222,1840,436,14,36,318,,
"07/1981",11952,2446,1998,570,14,56,316,11728,2424,1982,560,14,56,314,,
"08/1981",12442,2450,2190,592,14,58,384,12218,2434,2170,588,14,56,384,,
"09/1981",10852,2156,2006,482,20,84,318,10660,2144,1984,476,20,84,316,,
"10/1981",10900,2424,2008,298,20,48,318,10734,2402,1994,294,20,46,318,,
"11/1981",10162,2260,1928,240,22,44,350,10008,2234,1906,240,22,44,350,,
"12/1981",10346,2260,1974,200,10,40,354,10222,2256,1956,200,10,40,350,,
"01/1982",7652,1702,1412,156,12,52,244,7542,1700,1412,156,12,52,244,,
"02/1982",7282,1580,1254,194,14,38,252,7202,1580,1254,194,14,38,252,,
"03/1982",8612,1820,1550,244,4,30,258,8514,1820,1550,244,4,30,258,,
"04/1982",9158,1974,1562,294,16,36,296,9080,1974,1562,294,16,36,296,,
"05/1982",9886,2024,1612,478,24,40,310,9776,2020,1612,478,24,40,310,,
"06/1982",9872,2080,1690,410,14,46,280,9750,2080,1690,410,14,46,280,,
"07/1982",10698,2130,1798,474,12,54,286,10532,2130,1798,474,12,54,286,,
"08/1982",10696,2124,1888,498,12,44,306,10554,2122,1886,498,12,44,306,,
"09/1982",10006,2176,1702,390,18,40,280,9892,2176,1702,390,18,40,280,,
"10/1982",10364,2234,1868,306,10,50,288,10242,2234,1868,306,10,50,288,,
"11/1982",9114,1948,1592,198,8,46,316,9006,1948,1590,198,8,46,316,,
"12/1982",9570,2100,1728,218,18,68,316,9454,2100,1728,218,18,68,316,,
"01/1983",7440,1546,1436,198,8,62,264,7346,1546,1434,198,8,62,264,,
"02/1983",7056,1554,1308,172,2,38,256,6966,1552,1306,172,2,38,256,,
"03/1983",7848,1614,1514,196,8,40,314,7758,1614,1514,196,8,40,314,,
"04/1983",8428,1798,1530,312,12,40,278,8304,1798,1530,312,12,40,278,,
"05/1983",9382,1884,1614,410,8,38,294,9282,1884,1608,410,8,38,290,,
"06/1983",9546,1908,1688,426,22,60,292,9460,1908,1686,426,22,60,290,,
"07/1983",10548,2152,1816,562,16,52,360,10380,2150,1814,562,16,52,360,,
"08/1983",10620,2150,1804,550,16,64,320,10498,2150,1802,550,16,64,318,,
"09/1983",10282,2018,1730,464,20,40,348,10140,2018,1730,464,20,40,348,,
"10/1983",10244,2262,1704,368,20,46,340,10106,2262,1704,368,20,46,340,,
"11/1983",9386,1994,1742,230,12,50,330,9262,1992,1740,230,12,50,330,,
"12/1983",9432,1998,1598,238,16,54,398,9314,1998,1596,238,16,54,396,,
"01/1984",7586,1530,1450,206,12,50,278,7498,1530,1450,206,12,50,278,,
"02/1984",7416,1562,1292,234,12,48,244,7362,1562,1292,234,12,48,244,,
"03/1984",8610,1772,1510,300,8,66,332,8544,1772,1510,300,8,66,332,,
"04/1984",8470,1672,1456,308,8,44,334,8398,1672,1456,308,8,44,332,,
"05/1984",9878,1852,1790,500,32,44,318,9784,1850,1790,500,32,44,318,,
"06/1984",10776,2012,1818,558,14,58,358,10706,2012,1818,558,14,58,358,,
"07/1984",10972,2086,1874,568,18,52,412,10892,2086,1874,568,18,52,412,,
"08/1984",11124,2092,1768,638,14,66,382,11010,2092,1766,638,14,66,380,,
"09/1984",10718,2178,1784,578,24,56,390,10622,2178,1784,578,24,56,390,,
"10/1984",10576,2126,1810,398,16,48,342,10494,2126,1808,398,16,48,342,,
"11/1984",9834,2036,1888,268,18,82,336,9736,2036,1888,268,18,82,336,,
